['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X1*X3', '-1*X0*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X1*X3', '-1*X0*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z6', '-1*Z3*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z6', '-1*Z3*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z7', '-1*Z4*Z6', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z7', '-1*Z4*Z6', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z2*Z4', '-1*Z1*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z2*Z4', '-1*Z1*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z2*Z4', '-1*Z1*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z2*Z4', '-1*Z1*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z5', '-1*Z2*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z5', '-1*Z2*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z5', '-1*Z2*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z5', '-1*Z2*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z6', '-1*Z3*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z6', '-1*Z3*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z7', '-1*Z4*Z6', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z7', '-1*Z4*Z6', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X4', '-1*X1*X3', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z7', '-1*Z3*Z6', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z7', '-1*Z3*Z6', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z6', '-1*Z3*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z6', '-1*Z3*Z7', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z6', '-1*Z3*Z7', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z4*Z6', '-1*Z3*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z7', '-1*Z4*Z6', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z7', '-1*Z4*Z6', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z7', '-1*Z4*Z6', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z7', '-1*Z4*Z6', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z6', '-1*Z4*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z6', '-1*Z4*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z2*Z4', '-1*Z1*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z5', '-1*Z2*Z4', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z7', '-1*Z3*Z6', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z7', '-1*Z3*Z6', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z6', '-1*Z3*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z6', '-1*Z3*Z7', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z6', '-1*Z3*Z7', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z4*Z6', '-1*Z3*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z7', '-1*Z4*Z6', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z7', '-1*Z4*Z6', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z7', '-1*Z4*Z6', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z7', '-1*Z4*Z6', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z6', '-1*Z4*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z6', '-1*Z4*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X7', '-1*X4*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X8', '-1*X5*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X3', '-1*X1*X4', '1*Z1*Z2', '-1*Z4*Z5', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z6*Z7', '-1*Z3*Z4', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X5*X8', '-1*X4*X7']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z4*Z5', '-1*Z1*Z2', '1*Z3*Z4', '-1*Z6*Z7', '1*X4*X7', '-1*X5*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z4*Z7', '-1*Z3*Z6', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z4*Z7', '-1*Z3*Z6', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z3*Z6', '-1*Z4*Z7', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z2*Z5', '-1*Z1*Z4', '1*Z3*Z6', '-1*Z4*Z7', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z4*Z7', '-1*Z3*Z6', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z4*Z7', '-1*Z3*Z6', '1*X4*X5', '-1*X7*X8']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z3*Z6', '-1*Z4*Z7', '1*X7*X8', '-1*X4*X5']
['Z0*Z3', 'X6*X7', 'X1*X2', 'Z5*Z8', '-4*I0', '1*X0*X1', '-1*X3*X4', '1*Z1*Z4', '-1*Z2*Z5', '1*Z3*Z6', '-1*Z4*Z7', '1*X4*X5', '-1*X7*X8']
